field,missing_fraction
shutdown_date,0.968
grid_connection_date,0.113
commercial_operation_date,0.113
expected_start_year,0.113
age_years,0.113
construction_start_date,0.036
net_capacity_mwe,0.002
source_confidence,0.0
source_last_updated,0.0
vendor,0.0
operator,0.0
owner,0.0
smr_flag,0.0
geniv_flag,0.0
molten_salt_flag,0.0
thorium_potential_flag,0.0
source_name,0.0
reactor_id,0.0
reactor_name,0.0
status,0.0
unit_name,0.0
plant_name,0.0
country,0.0
region,0.0
latitude,0.0
longitude,0.0
status_group,0.0
gross_capacity_mwe,0.0
reactor_type,0.0
reactor_type_standardized,0.0
technology_family,0.0
generation_category,0.0
size_category,0.0
capacity_mwe,0.0
fast_reactor_flag,0.0
