country,term,count
Russia,fuel,2
India,expansion,2
Argentina,capability,1
South Korea,production,1
South Korea,i-smr,1
South Korea,hydrogen,1
South Korea,hanul,1
South Korea,export,1
South Korea,expansion,1
South Korea,development,1
South Korea,apr1400,1
Russia,technology,1
Russia,strategy,1
Russia,sodium-cooled,1
Russia,reactor,1
Russia,mox,1
Russia,fast,1
South Korea,smr,1
Russia,emphasized,1
Russia,deployment,1
Russia,cycle,1
Russia,closed,1
Poland,technology,1
Poland,supply,1
Poland,selection,1
Poland,security,1
Poland,replacement,1
Poland,financing,1
Poland,energy,1
Poland,development,1
South Korea,shin,1
South Korea,success,1
Poland,chain,1
United States,demonstrations,1
United States,smr,1
United States,recurring,1
United States,reactors,1
United States,priorities,1
United States,power,1
United States,policy,1
United States,modernization,1
United States,licensing,1
United States,industrial,1
United States,heat,1
United States,haleu,1
United States,fuel,1
United States,firm,1
United States,clean,1
South Korea,uae,1
United States,advanced,1
United Kingdom,zero,1
United Kingdom,targets,1
United Kingdom,smr,1
United Kingdom,security,1
United Kingdom,program,1
United Kingdom,point,1
United Kingdom,net,1
United Kingdom,hinkley,1
United Kingdom,evaluation,1
United Kingdom,epr,1
United Kingdom,energy,1
United Kingdom,construction,1
Poland,coal,1
Poland,ap1000,1
Argentina,carem,1
China,htr-pm,1
China,fast,1
China,energy,1
China,development,1
China,demonstration,1
China,continues,1
China,buildout,1
China,alongside,1
Canada,targets,1
Canada,smr,1
Canada,reliability,1
Canada,licensing,1
Canada,grid,1
Canada,emphasized,1
Canada,electricity,1
Canada,deployment,1
Canada,clean,1
Canada,bwrx-300,1
Argentina,small,1
Argentina,reactor,1
Argentina,nuclear,1
Argentina,modular,1
Argentina,long,1
Argentina,highlighted,1
Argentina,experience,1
Argentina,engineering,1
Argentina,domestic,1
Argentina,development,1
China,framing,1
China,large,1
India,thorium,1
China,pwr,1
India,reactor,1
India,phwr,1
India,pfbr,1
India,kudankulam,1
India,fuel,1
India,fleet,1
India,fast,1
India,domestic,1
India,development,1
India,cycle,1
India,breeder,1
France,units,1
France,sovereignty,1
France,six,1
France,reactors,1
France,primary,1
France,potential,1
France,france,1
France,epr2,1
France,energy,1
France,drivers,1
France,decarbonization,1
France,construction,1
France,announced,1
France,additional,1
China,security,1
China,reactor,1
United States,supply,1
