country,region,income_group,gdp_current_usd,gdp_per_capita,population,electricity_generation_twh,nuclear_experience_years,historical_completed_reactors,nuclear_generation_twh,nuclear_share_percent,operating_reactor_count,construction_reactor_count,planned_reactor_count,proposed_reactor_count,operating_capacity_mwe,construction_capacity_mwe,planned_capacity_mwe,proposed_capacity_mwe,average_fleet_age,smr_interest_flag,geniv_interest_flag,advanced_reactor_activity_score,policy_signal_score,electricity_demand_twh
Argentina,Latin America,Upper middle income,646075000000,13935,46200000,145,50,3,10.15,7.000000000000001,3,1,0,0,1676.0,27.0,0.0,0.0,35.333333333333336,True,False,35.0,57.0,145
Armenia,Eurasia,Upper middle income,19518000000,6474,3000000,7,44,1,1.9600000000000002,28.000000000000004,1,0,0,0,376.0,0.0,0.0,0.0,46.0,False,False,0.0,35.0,7
Bangladesh,Asia,Lower middle income,437415000000,2688,171000000,95,0,0,0.0,0.0,0,2,0,0,0.0,2228.0,0.0,0.0,0.0,False,False,0.0,51.0,95
Belgium,Europe,High income,584697000000,50114,11600000,85,68,7,39.949999999999996,47.0,7,0,0,0,5925.0,0.0,0.0,0.0,46.0,False,False,0.0,35.0,85
Brazil,Latin America,Upper middle income,2173666000000,10109,216000000,690,42,2,13.8,2.0,2,0,1,0,1990.0,0.0,1405.0,0.0,33.0,False,False,14.0,45.6,690
Bulgaria,Europe,Upper middle income,89580000000,13326,6500000,45,44,2,15.749999999999998,35.0,2,0,0,1,1953.0,0.0,0.0,1000.0,35.0,False,False,0.0,35.0,45
Canada,North America,High income,2140086000000,53372,40000000,600,60,19,90.0,15.0,14,0,1,0,10382.0,0.0,300.0,0.0,39.857142857142854,True,False,38.0,55.2,600
China,Asia,Upper middle income,17794782000000,12614,1410000000,9450,41,65,472.5,5.0,51,11,0,0,51682.0,12323.0,0.0,0.0,11.607843137254902,False,False,0.0,100.0,9450
Czech Republic,Europe,High income,340459000000,31820,10900000,85,36,6,31.45,37.0,6,0,0,0,3760.0,0.0,0.0,0.0,34.333333333333336,False,False,0.0,35.0,85
Egypt,Africa,Lower middle income,395926000000,3698,110000000,210,0,0,0.0,0.0,0,2,1,0,0.0,2228.0,1114.0,0.0,0.0,False,False,11.1,60.4,210
Finland,Europe,High income,300588000000,53654,5600000,90,50,5,27.0,30.0,5,0,1,0,4362.0,0.0,890.0,0.0,37.6,False,False,8.9,43.6,90
France,Europe,High income,3030904000000,44460,68100000,485,68,56,315.25,65.0,56,0,0,0,62025.0,0.0,0.0,0.0,39.719298245614034,False,False,0.0,35.0,485
Germany,Europe,High income,4082000000000,48718,84300000,545,62,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,38.0,False,False,0.0,35.0,545
Hungary,Europe,High income,185000000000,18728,9700000,43,40,4,20.64,48.0,4,0,2,0,1884.0,0.0,2228.0,0.0,41.0,False,False,22.3,53.9,43
India,Asia,Lower middle income,3549919000000,2485,1428000000,1900,30,22,57.0,3.0,21,6,0,0,6518.0,4254.0,0.0,0.0,28.09090909090909,False,True,35.0,97.0,1900
Japan,Asia,High income,4212945000000,33834,124500000,980,50,33,78.4,8.0,11,0,0,0,9806.0,0.0,0.0,0.0,41.416666666666664,False,False,0.0,35.0,980
Mexico,Latin America,Upper middle income,1365000000000,10624,130000000,310,34,2,12.4,4.0,2,0,0,0,1354.0,0.0,0.0,0.0,33.5,False,False,0.0,35.0,310
Netherlands,Europe,High income,999000000000,57768,17900000,115,55,1,4.6000000000000005,4.0,1,0,0,0,515.0,0.0,0.0,0.0,53.0,False,False,0.0,35.0,115
Pakistan,Asia,Lower middle income,338000000000,1394,236000000,160,30,6,8.0,5.0,6,0,0,0,3400.0,0.0,0.0,0.0,11.5,False,False,0.0,35.0,160
Poland,Europe,High income,811229000000,22112,36800000,175,0,0,0.0,0.0,0,0,2,0,0.0,0.0,2234.0,0.0,0.0,False,False,22.3,53.9,175
Romania,Europe,Upper middle income,348000000000,17862,19000000,65,30,2,12.35,19.0,2,0,2,0,1300.0,0.0,1300.0,0.0,24.5,False,False,13.0,50.2,65
Russia,Eurasia,Upper middle income,2021420000000,13817,143800000,1170,44,37,234.0,20.0,33,3,0,0,28997.0,3765.0,0.0,0.0,32.72222222222222,False,False,0.0,59.0,1170
Slovakia,Europe,High income,132000000000,24192,5500000,30,36,5,17.099999999999998,56.99999999999999,4,1,0,0,1701.0,471.0,0.0,0.0,24.25,False,False,0.0,43.0,30
South Africa,Africa,Upper middle income,380000000000,6193,60400000,235,44,2,14.1,6.0,2,0,0,1,1800.0,0.0,0.0,1000.0,41.5,False,False,0.0,35.0,235
South Korea,Asia,High income,1712793000000,33147,51700000,590,46,26,165.20000000000002,28.000000000000004,24,2,0,0,23750.0,2680.0,0.0,0.0,27.53846153846154,False,False,0.0,51.0,590
Spain,Europe,High income,1582000000000,32788,48400000,250,50,7,50.0,20.0,7,0,0,0,7264.0,0.0,0.0,0.0,40.57142857142857,False,False,0.0,35.0,250
Sweden,Europe,High income,581000000000,55360,10500000,140,50,6,42.0,30.0,6,0,0,0,5908.0,0.0,0.0,0.0,42.833333333333336,False,False,0.0,35.0,140
Switzerland,Europe,High income,905000000000,103199,8700000,65,55,4,21.45,33.0,4,0,0,0,2920.0,0.0,0.0,0.0,50.8,False,False,0.0,35.0,65
Taiwan,Asia,High income,751000000000,32000,23400000,235,50,3,28.2,12.0,3,0,0,0,2731.0,0.0,0.0,0.0,44.0,False,False,0.0,35.0,235
Turkey,Europe,Upper middle income,1108022000000,12985,85300000,335,0,0,0.0,0.0,0,4,0,0,0.0,4456.0,0.0,0.0,0.0,False,False,0.0,67.0,335
UAE,Middle East,High income,504173000000,51426,9800000,160,4,4,32.0,20.0,3,1,0,0,4035.0,1345.0,0.0,0.0,4.0,False,False,0.0,43.0,160
Ukraine,Eurasia,Lower middle income,173000000000,4500,37000000,150,36,15,82.5,55.00000000000001,15,0,0,0,13114.0,0.0,0.0,0.0,37.4,False,False,0.0,35.0,150
