year,country,region,scenario,capacity_gwe,capacity_factor,estimated_generation_twh,nuclear_share_estimate,smr_capacity_gwe,geniv_capacity_gwe,large_reactor_capacity_gwe,source_name
2030,Argentina,Latin America,Conservative,1.687,0.86,12.71,8.76,0.015,0.0,1.672,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Argentina,Latin America,Base,1.691,0.86,12.74,8.78,0.02,0.0,1.671,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Argentina,Latin America,Accelerated,1.695,0.86,12.77,8.81,0.026,0.0,1.669,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Argentina,Latin America,Conservative,1.687,0.86,12.71,8.76,0.015,0.0,1.672,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Argentina,Latin America,Base,1.691,0.86,12.74,8.78,0.02,0.0,1.671,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Argentina,Latin America,Accelerated,1.695,0.86,12.77,8.81,0.026,0.0,1.669,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Argentina,Latin America,Conservative,1.687,0.86,12.71,8.76,0.015,0.0,1.672,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Argentina,Latin America,Base,1.691,0.86,12.74,8.78,0.02,0.0,1.671,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Argentina,Latin America,Accelerated,1.695,0.86,12.77,8.81,0.026,0.0,1.669,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Armenia,Eurasia,Conservative,0.376,0.86,2.83,40.47,0.0,0.0,0.376,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Armenia,Eurasia,Base,0.376,0.86,2.83,40.47,0.0,0.0,0.376,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Armenia,Eurasia,Accelerated,0.376,0.86,2.83,40.47,0.0,0.0,0.376,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Armenia,Eurasia,Conservative,0.376,0.86,2.83,40.47,0.0,0.0,0.376,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Armenia,Eurasia,Base,0.376,0.86,2.83,40.47,0.0,0.0,0.376,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Armenia,Eurasia,Accelerated,0.376,0.86,2.83,40.47,0.0,0.0,0.376,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Armenia,Eurasia,Conservative,0.376,0.86,2.83,40.47,0.0,0.0,0.376,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Armenia,Eurasia,Base,0.376,0.86,2.83,40.47,0.0,0.0,0.376,Scenario engine using processed reactor pipeline and sample/ingested context
