country,year,target_year,target_nuclear_share,nuclear_share_t,nuclear_elec_t,nuclear_share_lag1,nuclear_share_lag2,nuclear_elec_lag1,gdp_per_capita,gdp_growth_rate,electricity_demand,coal_share,renewables_share,energy_per_capita,population
Africa (Ember),2002,2007,1.855,2.458,11.99,2.333,2.95,10.72,,,487.7,0.4608570842731187,0.18050030756612673,,
Africa (Ember),2003,2008,2.091,2.486,12.66,2.458,2.333,11.99,,,509.15,0.46697436904644996,0.16867327899440243,,
Africa (Ember),2004,2009,2.051,2.475,13.37,2.486,2.458,12.66,,,540.14,0.4603621283370978,0.1684933535749991,,
Africa (Ember),2005,2010,2.012,2.013,11.29,2.475,2.486,13.37,,,560.75,0.4483281319661168,0.16754346856888097,,
Africa (Ember),2006,2011,1.873,1.709,10.03,2.013,2.475,11.29,,,586.8,0.4405078391274711,0.16697341513292435,,
Africa (Ember),2007,2012,1.788,1.855,11.32,1.709,2.013,10.03,,,610.23,0.43432804024711996,0.16469200137653014,,
Africa (Ember),2008,2013,1.904,2.091,13.0,1.855,1.709,11.32,,,621.69,0.41800575849700006,0.16487316829931314,,
Africa (Ember),2009,2014,1.795,2.051,12.81,2.091,1.855,13.0,,,624.58,0.4005251529027506,0.1706746933939607,,
Africa (Ember),2010,2015,1.549,2.012,13.53,2.051,2.091,12.81,,,672.5,0.3861115241635688,0.17287732342007436,,
Africa (Ember),2011,2016,1.865,1.873,12.9,2.012,2.051,13.53,,,688.77,0.38150616316041636,0.17317827431508342,,
Africa (Ember),2012,2017,1.719,1.788,12.97,1.873,2.012,12.9,,,725.54,0.3552802050886236,0.16871571519144363,,
Africa (Ember),2013,2018,1.353,1.904,14.11,1.788,1.873,12.97,,,741.0,0.34224021592442644,0.1719838056680162,,
Africa (Ember),2014,2019,1.512,1.795,13.79,1.904,1.788,14.11,,,768.15,0.33220074204256983,0.1788192410336523,,
Africa (Ember),2015,2020,1.15,1.549,12.24,1.795,1.904,13.79,,,790.12,0.32234344150255656,0.17984609932668455,,
Africa (Ember),2016,2021,1.363,1.865,15.03,1.549,1.795,12.24,,,805.89,0.318505006886796,0.17960267530308108,,
Africa (Ember),2017,2022,1.094,1.719,14.19,1.865,1.549,15.03,,,825.71,0.31139261968487725,0.187462910707149,,
Africa (Ember),2018,2023,0.87,1.353,11.58,1.719,1.865,14.19,,,855.84,0.30970742194802764,0.196345111235745,,
Africa (Ember),2019,2024,0.808,1.512,13.25,1.353,1.719,11.58,,,876.05,0.3015581302437076,0.2057302665372981,,
Africa (Ember),2020,2025,1.023,1.15,9.9,1.512,1.353,13.25,,,861.18,0.2923546761420377,0.22301957778861564,,
Argentina,1980,1985,12.727,,2.34,,,2.692,13247.262148994932,0.014130729203080518,,,,16895.92,28011597.0
Argentina,1981,1986,11.65,,2.816,,,2.34,12288.594038017765,-0.057386931738898354,,,,16121.061,28463956.0
Argentina,1982,1987,12.405,,1.87,,,2.816,11712.016359411411,-0.03150676707206203,,,,16261.604,28924268.0
Argentina,1983,1988,11.044,,3.405,,,1.87,11932.31310970778,0.0352610907673983,,,,16701.121,29391334.0
Argentina,1984,1989,9.907,,4.641,,,3.405,11982.830544327462,0.020352474119392106,,,,16488.375,29863090.0
Argentina,1985,1990,14.275,12.727,5.766,,,4.641,11015.509792049485,-0.06615420139639652,,,,16023.38,30336448.0
Argentina,1986,1991,14.402,11.65,5.711,12.727,,5.766,11639.454904264192,0.07320564258872632,,,,16542.523,30811982.0
Argentina,1987,1992,12.621,12.405,6.465,11.65,12.727,5.711,11756.883536511397,0.025817219152052154,,,,17022.387,31291764.0
Argentina,1988,1993,12.527,11.044,5.798,12.405,11.65,6.465,11356.673742486517,-0.018952405060022444,,,,17035.045,31780534.0
Argentina,1989,1994,12.549,9.907,5.039,11.044,12.405,5.798,10489.951863220174,-0.06206441386882846,,,,16179.043,32270958.0
Argentina,1990,1995,10.52,14.275,7.281,9.907,11.044,5.039,10341.68108976497,0.0006804545030078447,,,,15680.393,32755907.0
Argentina,1991,1996,10.692,14.402,7.756,14.275,9.907,7.281,11316.720271590744,0.11013036290735007,,,,15722.361,33230293.0
Argentina,1992,1997,10.986,12.621,7.081,14.402,14.275,7.756,12366.760102265325,0.10802031690223733,,,,16630.447,33693532.0
Argentina,1993,1998,10.049,12.527,7.75,12.621,14.402,7.081,13023.27529553357,0.06743891244266977,,,,16948.301,34152719.0
Argentina,1994,1999,8.801,12.549,8.235,12.527,12.621,7.75,13663.075427090685,0.06328178831492488,,,,17657.168,34613492.0
Argentina,1995,2000,6.945,10.52,7.066,12.549,12.527,8.235,13162.270304324926,-0.02394815217011774,,,,17982.643,35070016.0
Argentina,1996,2001,7.832,10.692,7.459,10.52,12.549,7.066,13780.74304410441,0.06023698265322317,,,,18559.109,35513795.0
Argentina,1997,2002,6.88,10.986,7.961,10.692,10.52,7.459,14786.06556389141,0.08606321703588406,,,,18609.811,35947790.0
Argentina,1998,2003,8.222,10.049,7.453,10.986,10.692,7.961,15246.72649644672,0.043348175866516195,,,,19087.227,36372862.0
Argentina,1999,2004,7.85,8.801,7.106,10.049,10.986,7.453,14629.029462704764,-0.02938601881679944,,,,19175.273,36794687.0
Argentina,2000,2005,6.496,6.945,6.18,8.801,10.049,7.106,14416.111343031085,-0.003324711831453323,90.2,0.019733924611973392,0.32150776053215074,18907.803,37213986.0
Argentina,2001,2006,6.806,7.832,7.06,6.945,8.801,6.18,13684.2460987385,-0.040287935319457555,91.89,0.01480030471215584,0.40254652301665034,18268.281,37624817.0
Argentina,2002,2007,6.387,6.88,5.82,7.832,6.945,7.06,12110.609356195853,-0.10548100180665153,90.51,0.008949287371561154,0.4019445365153022,17306.4,38029345.0
Argentina,2003,2008,6.062,8.222,7.57,6.88,7.832,5.82,13093.390906344302,0.09237830248836307,97.1,0.009680741503604531,0.3579814624098867,18341.469,38424283.0
Argentina,2004,2009,6.687,7.85,7.87,8.222,6.88,7.57,14177.337495947217,0.09382186340451874,103.73,0.016195893184228285,0.3027089559433144,19351.779,38815915.0
Argentina,2005,2010,5.722,6.496,6.87,7.85,8.222,7.87,15326.35586562346,0.09221062609628401,109.63,0.0198850679558515,0.3211712122594181,20306.785,39216786.0
Argentina,2006,2011,4.942,6.806,7.72,6.496,7.85,6.87,16462.94871530451,0.085261393424225,115.79,0.017186285516884014,0.3380257362466534,21100.816,39622113.0
Argentina,2007,2012,4.705,6.387,7.25,6.806,6.496,7.72,17860.643216429755,0.09570548618567312,121.12,0.019319682959048876,0.2670904887714663,21717.797,40016767.0
