reactor_name,country,technology_family,reactor_type,capacity_mwe,start_decade,vendor,source_confidence,completed_on_time,actual_build_years
CAREM-25,Argentina,Small Modular Reactor,SMR-LWR,27.0,2010,CNEA,0.55,0,
Atucha-1,Argentina,Heavy Water Reactor,PHWR,335.0,1960,Siemens/CNEA,0.55,1,6.061601642710472
Atucha-2,Argentina,Heavy Water Reactor,PHWR,693.0,1980,CNEA/INVAP,0.55,0,32.865160848733744
Embalse,Argentina,Heavy Water Reactor,PHWR,648.0,1970,AECL,0.55,0,10.001368925393566
Metsamor-2,Armenia,Light Water Reactor,VVER,376.0,1970,AtomEnergoProject,0.55,1,4.8405201916495555
Rooppur-1,Bangladesh,Light Water Reactor,VVER,1114.0,2010,Rosatom,0.55,0,
Rooppur-2,Bangladesh,Light Water Reactor,VVER,1114.0,2010,Rosatom,0.55,0,
Doel-1,Belgium,Light Water Reactor,PWR,433.0,1960,Framatome,0.55,1,5.626283367556468
Doel-2,Belgium,Light Water Reactor,PWR,433.0,1970,Framatome,0.55,1,4.249144421629021
Doel-3,Belgium,Light Water Reactor,PWR,1006.0,1970,Framatome,0.55,1,7.748117727583847
Doel-4,Belgium,Light Water Reactor,PWR,1037.0,1970,Framatome,0.55,1,6.581793292265571
Tihange-1,Belgium,Light Water Reactor,PWR,962.0,1970,Framatome,0.55,1,0.35044490075290896
Tihange-2,Belgium,Light Water Reactor,PWR,1008.0,1970,Framatome,0.55,1,7.1649555099247095
Tihange-3,Belgium,Light Water Reactor,PWR,1046.0,1970,Framatome,0.55,1,6.833675564681725
Angra-1,Brazil,Light Water Reactor,PWR,640.0,1970,Westinghouse,0.55,0,13.976728268309378
Angra-2,Brazil,Light Water Reactor,PWR,1350.0,1970,Siemens/KWU,0.55,0,25.086926762491444
Angra-3,Brazil,Light Water Reactor,PWR,1405.0,2010,Siemens/Areva,0.55,0,
Kozloduy-5,Bulgaria,Light Water Reactor,VVER,1000.0,1980,Rosatom,0.55,1,9.481177275838467
Kozloduy-6,Bulgaria,Light Water Reactor,VVER,953.0,1980,Rosatom,0.55,0,11.748117727583846
Bruce-3,Canada,Heavy Water Reactor,PHWR,769.0,1960,AECL,0.55,0,10.67214236824093
Bruce-4,Canada,Heavy Water Reactor,PHWR,769.0,1960,AECL,0.55,0,11.633127994524298
Bruce-5,Canada,Heavy Water Reactor,PHWR,817.0,1970,AECL,0.55,1,6.74880219028063
Bruce-6,Canada,Heavy Water Reactor,PHWR,817.0,1970,AECL,0.55,1,6.036960985626283
Bruce-7,Canada,Heavy Water Reactor,PHWR,817.0,1970,AECL,0.55,1,6.9431895961670085
Bruce-8,Canada,Heavy Water Reactor,PHWR,817.0,1970,AECL,0.55,1,7.8056125941136205
Darlington-1,Canada,Heavy Water Reactor,PHWR,878.0,1980,AECL,0.55,0,11.62217659137577
Darlington-2,Canada,Heavy Water Reactor,PHWR,878.0,1980,AECL,0.55,1,9.103353867214237
Darlington-3,Canada,Heavy Water Reactor,PHWR,878.0,1980,AECL,0.55,1,8.454483230663929
Darlington-4,Canada,Heavy Water Reactor,PHWR,878.0,1980,AECL,0.55,1,7.953456536618754
Pickering-5,Canada,Heavy Water Reactor,PHWR,516.0,1970,AECL,0.55,1,8.5201916495551
Pickering-6,Canada,Heavy Water Reactor,PHWR,516.0,1970,AECL,0.55,1,8.336755646817249
Pickering-7,Canada,Heavy Water Reactor,PHWR,516.0,1970,AECL,0.55,0,10.03422313483915
