project_id,reactor_name,country,status,status_group,technology_family,reactor_type,capacity_mwe,construction_start_year,expected_operation_year,delay_years_if_known,project_stage,project_maturity_score,delay_risk_score,realization_probability,source_name
PIPE-ARG-ATUCHA-CAREM,CAREM-25,Argentina,Under Construction,Construction,Small Modular Reactor,SMR-LWR,27.0,2014.0,2030,5.0,Construction,73.4,26.6,0.73,IAEA-PRIS/WNA-sample
PIPE-BAN-ROOPPUR-UNIT-1,Rooppur-1,Bangladesh,Under Construction,Construction,Light Water Reactor,VVER,1114.0,2017.0,2030,2.0,Construction,71.6,28.4,0.72,IAEA-PRIS/WNA-sample
PIPE-BAN-ROOPPUR-UNIT-2,Rooppur-2,Bangladesh,Under Construction,Construction,Light Water Reactor,VVER,1114.0,2018.0,2030,1.0,Construction,71.6,28.4,0.72,IAEA-PRIS/WNA-sample
PIPE-BRA-ANGRA-UNIT-3,Angra-3,Brazil,Planned,Planned,Light Water Reactor,PWR,1405.0,2010.0,2035,9.0,Planned,70.6,36.4,0.71,IAEA-PRIS/WNA-sample
PIPE-BUL-BELENE-UNIT-1,Belene-1,Bulgaria,Proposed,Proposed,Light Water Reactor,VVER,1000.0,,2042,,Proposed,58.9,49.1,0.59,IAEA-PRIS/WNA-sample
PIPE-CAN-DARLINGTON-BWRX-300,Darlington-SMR-1,Canada,Planned,Planned,Small Modular Reactor,SMR-LWR,300.0,,2035,,Planned,63.2,36.8,0.63,IAEA-PRIS/WNA-sample
PIPE-CHI-CHANGJIANG-UNIT-3,Changjiang-3,China,Under Construction,Construction,Light Water Reactor,PWR,1000.0,2021.0,2030,0.0,Construction,84.4,15.6,0.84,IAEA-PRIS/WNA-sample
PIPE-CHI-HAIYANG-UNIT-3,Haiyang-3,China,Under Construction,Construction,Light Water Reactor,AP1000,1157.0,2022.0,2030,0.0,Construction,83.8,16.2,0.84,IAEA-PRIS/WNA-sample
PIPE-CHI-LIANJIANG-UNIT-1,Lianjiang-1,China,Under Construction,Construction,Light Water Reactor,PWR,1000.0,2023.0,2030,0.0,Construction,84.4,15.6,0.84,IAEA-PRIS/WNA-sample
PIPE-CHI-LUFENG-UNIT-5,Lufeng-5,China,Under Construction,Construction,Light Water Reactor,PWR,1000.0,2022.0,2030,0.0,Construction,84.4,15.6,0.84,IAEA-PRIS/WNA-sample
PIPE-CHI-SANMEN-UNIT-2B,Sanmen-2b,China,Under Construction,Construction,Light Water Reactor,AP1000,1157.0,2010.0,2030,9.0,Construction,83.8,16.2,0.84,IAEA-PRIS/WNA-sample
PIPE-CHI-SANMEN-UNIT-3,Sanmen-3,China,Under Construction,Construction,Light Water Reactor,AP1000,1157.0,2022.0,2030,0.0,Construction,83.8,16.2,0.84,IAEA-PRIS/WNA-sample
PIPE-CHI-TIANWAN-UNIT-7,Tianwan-7,China,Under Construction,Construction,Light Water Reactor,VVER,1200.0,2021.0,2030,0.0,Construction,84.4,15.6,0.84,IAEA-PRIS/WNA-sample
PIPE-CHI-XUDABAO-UNIT-3,Xudabao-3,China,Under Construction,Construction,Light Water Reactor,VVER,1200.0,2021.0,2030,0.0,Construction,84.4,15.6,0.84,IAEA-PRIS/WNA-sample
PIPE-CHI-XUDABAO-UNIT-4,Xudabao-4,China,Under Construction,Construction,Light Water Reactor,VVER,1200.0,2023.0,2030,0.0,Construction,84.4,15.6,0.84,IAEA-PRIS/WNA-sample
PIPE-CHI-ZHANGZHOU-UNIT-1,Zhangzhou-1,China,Under Construction,Construction,Light Water Reactor,PWR,1126.0,2019.0,2030,0.0,Construction,84.4,15.6,0.84,IAEA-PRIS/WNA-sample
