reactor_id,reactor_name,unit_name,plant_name,country,region,latitude,longitude,status,status_group,reactor_type,reactor_type_standardized,technology_family,generation_category,size_category,capacity_mwe,gross_capacity_mwe,net_capacity_mwe,construction_start_date,grid_connection_date,commercial_operation_date,shutdown_date,expected_start_year,age_years,owner,operator,vendor,source_name,source_confidence,source_last_updated,smr_flag,geniv_flag,molten_salt_flag,thorium_potential_flag,fast_reactor_flag
ARG-ATUCHA-CAREM,CAREM-25,CAREM,Atucha,Argentina,Latin America,-33.967,-59.205,Under Construction,Construction,SMR-LWR,SMR-LWR,Small Modular Reactor,Advanced/Gen IV candidate,Micro/small,27.0,30.0,27.0,2014-02-08,,,,,,CNEA,CNEA,CNEA,IAEA-PRIS/WNA-sample,0.55,2026-05-17,True,False,False,False,False
ARG-ATUCHA-UNIT-1,Atucha-1,Unit 1,Atucha,Argentina,Latin America,-33.967,-59.205,Operating,Operating,PHWR,PHWR,Heavy Water Reactor,Gen II/legacy or unspecified,Mid-size,335.0,362.0,335.0,1968-06-01,1974-03-19,1974-06-24,,1974.0,52.0,NASA,NA-SA,Siemens/CNEA,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
ARG-ATUCHA-UNIT-2,Atucha-2,Unit 2,Atucha,Argentina,Latin America,-33.967,-59.205,Operating,Operating,PHWR,PHWR,Heavy Water Reactor,Gen II/legacy or unspecified,Mid-size,693.0,745.0,693.0,1981-07-14,2014-06-02,2014-05-26,,2014.0,12.0,NASA,NA-SA,CNEA/INVAP,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
ARG-EMBALSE-UNIT-1,Embalse,Unit 1,Embalse,Argentina,Latin America,-32.236,-64.438,Operating,Operating,PHWR,PHWR,Heavy Water Reactor,Gen II/legacy or unspecified,Mid-size,648.0,683.0,648.0,1974-04-01,1983-11-15,1984-04-01,,1984.0,42.0,NASA,NA-SA,AECL,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
ARM-METSAMOR-UNIT-2,Metsamor-2,Unit 2,Metsamor,Armenia,Other,40.18,44.149,Operating,Operating,VVER,VVER,Light Water Reactor,Gen III/III+ or modern LWR,Mid-size,376.0,408.0,376.0,1975-07-01,1980-01-05,1980-05-03,,1980.0,46.0,ANPP,ANPP,AtomEnergoProject,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
BAN-ROOPPUR-UNIT-1,Rooppur-1,Unit 1,Rooppur,Bangladesh,Asia,24.065,89.047,Under Construction,Construction,VVER,VVER,Light Water Reactor,Gen III/III+ or modern LWR,Large,1114.0,1200.0,1114.0,2017-11-30,,,,,,BAEC,BAEC,Rosatom,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
BAN-ROOPPUR-UNIT-2,Rooppur-2,Unit 2,Rooppur,Bangladesh,Asia,24.065,89.047,Under Construction,Construction,VVER,VVER,Light Water Reactor,Gen III/III+ or modern LWR,Large,1114.0,1200.0,1114.0,2018-07-14,,,,,,BAEC,BAEC,Rosatom,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
BEL-DOEL-UNIT-1,Doel-1,Unit 1,Doel,Belgium,Other,51.325,4.259,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Mid-size,433.0,454.0,433.0,1969-07-01,1974-08-28,1975-02-15,,1975.0,51.0,Electrabel,Engie,Framatome,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
BEL-DOEL-UNIT-2,Doel-2,Unit 2,Doel,Belgium,Other,51.325,4.259,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Mid-size,433.0,454.0,433.0,1971-09-01,1975-08-21,1975-12-01,,1975.0,51.0,Electrabel,Engie,Framatome,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
BEL-DOEL-UNIT-3,Doel-3,Unit 3,Doel,Belgium,Other,51.325,4.259,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1006.0,1056.0,1006.0,1975-01-01,1982-06-24,1982-10-01,,1982.0,44.0,Electrabel,Engie,Framatome,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
