reactor_name,plant_name,unit_name,country,status,reactor_type,design_name,net_capacity_mwe,gross_capacity_mwe,construction_start_date,grid_connection_date,commercial_operation_date,shutdown_date,latitude,longitude,owner,operator,vendor,source_name
Atucha-1,Atucha,Unit 1,Argentina,operating,PHWR,PHWR-357,335,362,1968-06-01,1974-03-19,1974-06-24,,-33.967,-59.205,NASA,NA-SA,Siemens/CNEA,IAEA-PRIS/WNA-sample
Atucha-2,Atucha,Unit 2,Argentina,operating,PHWR,PHWR-745,693,745,1981-07-14,2014-06-02,2014-05-26,,-33.967,-59.205,NASA,NA-SA,CNEA/INVAP,IAEA-PRIS/WNA-sample
Embalse,Embalse,Unit 1,Argentina,operating,PHWR,CANDU-6,648,683,1974-04-01,1983-11-15,1984-04-01,,-32.236,-64.438,NASA,NA-SA,AECL,IAEA-PRIS/WNA-sample
CAREM-25,Atucha,CAREM,Argentina,Under-Construction ,SMR-LWR,CAREM,27,30,2014-02-08,,,,-33.967,-59.205,CNEA,CNEA,CNEA,IAEA-PRIS/WNA-sample
Metsamor-2,Metsamor,Unit 2,Armenia,operating,VVER,VVER-440,376,408,1975-07-01,1980-01-05,1980-05-03,,40.18,44.149,ANPP,ANPP,AtomEnergoProject,IAEA-PRIS/WNA-sample
Doel-3,Doel,Unit 3,Belgium,operating,PWR,PWR-3loop,1006,1056,1975-01-01,1982-06-24,1982-10-01,,51.325,4.259,Electrabel,Engie,Framatome,IAEA-PRIS/WNA-sample
Doel-4,Doel,Unit 4,Belgium,operating,PWR,PWR-3loop,1037,1084,1978-12-01,1985-04-09,1985-07-01,,51.325,4.259,Electrabel,Engie,Framatome,IAEA-PRIS/WNA-sample
Tihange-2,Tihange,Unit 2,Belgium,operating,PWR,PWR-3loop,1008,1055,1976-04-01,1982-10-13,1983-06-01,,50.534,5.271,Electrabel,Engie,Framatome,IAEA-PRIS/WNA-sample
Tihange-3,Tihange,Unit 3,Belgium,operating,PWR,PWR-3loop,1046,1089,1978-11-01,1985-06-28,1985-09-01,,50.534,5.271,Electrabel,Engie,Framatome,IAEA-PRIS/WNA-sample
Angra-1,Angra,Unit 1,Brazil,operating,PWR,PWR,640,657,1971-05-01,1982-03-01,1985-04-22,,-23.008,-44.458,Eletronuclear,Eletronuclear,Westinghouse,IAEA-PRIS/WNA-sample
Angra-2,Angra,Unit 2,Brazil,operating,PWR,PWR,1350,1400,1976-01-01,2000-07-21,2001-02-01,,-23.008,-44.458,Eletronuclear,Eletronuclear,Siemens/KWU,IAEA-PRIS/WNA-sample
Angra-3,Angra,Unit 3,Brazil,planned,PWR,PWR,1405,1450,2010-06-01,,,,-23.008,-44.458,Eletronuclear,Eletronuclear,Siemens/Areva,IAEA-PRIS/WNA-sample
Kozloduy-5,Kozloduy,Unit 5,Bulgaria,operating,VVER,VVER-1000,,1000,1980-07-01,1988-11-23,1989-12-24,,43.797,23.786,Kozloduy NPP,Kozloduy NPP,Rosatom,IAEA-PRIS/WNA-sample
